Server,Component Type,Component Name,Description,en-US
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.193.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.194.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.195.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.196.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.197.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.198.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.199.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.200.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.201.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.202.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.203.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.204.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.205.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.206.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.207.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.208.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.209.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.210.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.211.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.212.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.213.St_Caption,
/H01_515036_10:H01_515036_10,Global Objects Display,M916_IO,ControlListSelector1.214.St_Caption,
